trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.intensity,ISI.started,grating.started,key_resp.started,grating.stopped,trials.response,key_resp.corr,participant,session,date,expName,psychopyVersion,frameRate
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,39,0.047859704,0.0005931,120.944869,120.944869,121.2443141,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,40,0.047804635,0.0005812,123.5421714,123.5421714,123.8418077,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,41,0.047749629,0.0006087,125.9398228,125.9398228,126.2393729,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,42,0.047694687,0.0006046,128.3873606,128.3873606,128.6870549,0,0,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,43,0.047749629,0.000608,130.7019959,130.7019959,131.0013868,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,44,0.047749629,0.0005949,133.1660918,133.1660918,133.4656493,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,45,0.047749629,0.0006069,135.5970318,135.5970318,135.8966019,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,46,0.04772215,0.0006071,138.0115364,138.0115364,138.311056,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,47,0.04772215,0.0005881,140.3757328,140.3757328,140.6752697,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,48,0.04772215,0.0005875,142.7568074,142.7568074,143.0562648,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,49,0.047694687,0.0005938,145.2210822,145.2210822,145.5206158,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,50,0.047694687,0.0005877,147.7018772,147.7018772,148.0015082,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,51,0.047694687,0.0005835,150.1995877,150.1995877,150.4989481,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,52,0.04766724,0.0005921,152.5803634,152.5803634,152.8799494,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,53,0.04766724,0.000589,154.9781377,154.9781377,155.2776255,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,54,0.04766724,0.000579,157.3924564,157.3924564,157.6920638,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,55,0.047639808,0.0006073,159.9232278,159.9232278,160.2228422,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,56,0.047639808,0.0005885,162.4375016,162.4375016,162.7369848,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,57,0.047639808,0.0006015,165.0515072,165.0515072,165.3512001,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
